"doctor_id","doctor_name"
D0096,David Ruiz
D0097,Kyle Smith
D0098,Jason Price
D0099,Stephanie Clements
D0100,Steven James
D0101,Jeremiah Wolf
D0102,Roberto Petersen
D0103,Christina Hammond
D0104,Patricia Colon
D0105,Dominic Mitchell
D0106,Wendy Davis
D0107,Daniel Carson
D0108,Erin Henderson MD
D0109,Christopher Butler
D0110,Samuel Robles
D0111,Benjamin Webb
D0112,Krystal Fox
D0113,Bruce Garrett
D0114,Jonathan Watson
D0115,Christopher Guerra
D0116,Steven Adams
D0117,Victoria Patel
D0118,Louis Bell
D0119,Michael Baker
D0120,Douglas Fleming
D0121,Patrick Carter
D0122,Sarah Shaffer
D0123,Matthew Carter
D0124,Brian Wagner
D0125,Lucas Cole
D0126,Julia Yoder
D0127,Crystal Chavez
D0128,Brenda Lopez
D0129,Michael Cole
D0130,Michael Larson
D0131,Tracey Spence
D0132,Susan Gibson
D0133,Gerald Hooper
D0134,Todd Sanchez
D0135,Elizabeth Morales
D0136,Kimberly Petersen
D0137,Misty Garcia
D0138,Melissa Fernandez
D0139,Kari Moore
D0140,David Hubbard
D0141,Lonnie Morgan
D0142,Victoria Gonzales
D0143,Cindy White
D0144,Douglas Li
D0145,Lori Mendoza
D0146,Ryan Ross
D0147,Brian Walton
D0148,Michael Berg
D0149,Scott Davis
D0150,Daniel Shelton
D0151,Tara Moreno
D0152,Kristie Morgan
D0153,Joseph Jones
D0154,Maria Tran
D0155,Kelly Murphy
D0156,Katherine Brown
D0157,Elizabeth Frank
D0158,Alyssa Edwards
D0159,Jesse Thomas
D0160,Erica Mccormick
D0161,Amber Holmes
D0162,Austin Jackson
D0163,Shane Morris
D0164,Brent Smith
D0165,Kayla Davis
D0166,Rose Zuniga
D0167,Ethan Wagner
D0168,Phillip Williams
D0169,Maureen Hill
D0170,Heidi Compton MD
D0171,Kimberly Gonzalez
D0172,Rebecca Morgan
D0173,Sabrina Rogers
D0174,Kevin Brown
D0175,Sarah Cole
D0176,Jennifer Hall
D0177,Emily Cruz
D0178,Michael Anderson
D0179,Natalie Sellers
D0180,Patrick Ochoa
D0181,Daniel Rodgers
D0182,Taylor Baldwin
D0183,Adam Ross
D0184,Amy Williams
D0185,Martha Graham
D0186,Emily Thomas
D0187,Terrance Rosales
D0188,Daniel Smith
D0189,Marissa Stevenson
D0190,Katie Fitzpatrick
D0191,Dennis Small
D0192,Chris Holt
D0193,Jenny Griffith
D0194,Gregory Lambert
D0195,Michael Armstrong
D0196,Melissa Terry
D0197,Thomas Bruce
D0198,James James DVM
D0199,Sean Smith
D0200,John Hansen
D0201,Teresa Mccarthy
D0202,Stephanie Barnett
D0203,Mr. Luke Nunez Jr.
D0204,Stacy Stewart
D0205,Andrea Oneal
D0206,Eric Coleman
D0207,Anthony Barnes
D0208,Michael Hickman
D0209,Dustin Wolf
D0210,Amanda Wells
D0211,Jason Miller
D0212,Holly James
D0213,April Cox
D0214,Virginia Lynch
D0215,Patricia Fuller
D0216,Michelle Ward
D0217,Robin Adams
D0218,Emily Morales
D0219,Adriana Morrow
D0220,Michael Mitchell
D0221,Caroline Choi
D0222,Michael Robinson
D0223,Heather Miller
D0224,Howard Obrien
D0225,Faith Cook
D0226,Donna Colon
D0227,David Lindsey
D0228,Anthony Nixon
D0229,Doris Hawkins
D0230,Caleb James
D0231,Patricia Moore
D0232,Matthew Gray
D0233,Justin Lowe
D0234,Danny Mcdonald
D0235,Gina Weaver
D0236,Eddie Jackson
D0237,Miss Valerie Saunders MD
D0238,Richard Petty
D0239,Patricia Bean
D0240,Ronald Jones
D0241,Jack Wall
D0242,Felicia Morrison
D0243,Crystal Schultz
D0244,Bailey Gonzalez
D0245,Michael Guzman
D0246,Elizabeth Flowers
D0247,Whitney Vaughan
D0248,Seth Nelson
D0249,Erin Wright
D0250,Jennifer Flores
D0251,Brandi Knight
D0252,Chad Irwin
D0253,Victoria Williams
D0254,Travis Walton
D0255,Catherine Hernandez
D0256,Kristen Johnson
D0257,Tammy Chavez
D0258,Savannah Colon
D0259,Jessica Parks MD
D0260,Joshua Singleton
D0261,Vincent Ramirez
D0262,Natasha Smith
D0263,John Sparks
D0264,Michelle Gutierrez
D0265,Rachel Williams
D0266,Sergio Shelton
D0267,Mr. Michael White MD
D0268,Mary Drake
D0269,Tonya Wade
D0270,Charles Torres
D0271,Jennifer Freeman
D0272,Reginald Becker
D0273,Charles Webb
D0274,Emily Perez
D0275,Rachel Thomas
D0276,Christopher Flores
D0277,Jennifer Stevenson
D0278,Matthew Garcia
D0279,Brett Meyer
D0280,David Murphy
D0281,Erin Henson
D0282,Katrina Fuentes
D0283,Harold Jackson
D0284,Christopher Merritt
D0285,Haley Kim
D0286,Dr. Steven Johnson
D0287,Erin Cole
D0288,Breanna Nielsen
D0289,Frank Gonzalez
D0290,Matthew Williams
D0291,Jonathan Gray
D0292,Timothy Rodriguez
D0293,Victor Welch
D0294,Robert Adams MD
D0295,Andrew Jefferson
D0296,Sharon Hensley
D0297,Eugene Branch
D0298,Anthony Greer
D0299,Bob Moyer
D0300,Heather Shea
D0301,Nicholas Stevenson
D0302,Laura Guerra
D0303,Michele Bradford
D0304,Mr. Jesse Cook
D0305,Heather Simon
D0306,Larry Mendez
D0307,Taylor Smith
D0308,Ian Singleton
D0309,Angela Burton
D0310,Lisa Payne
D0311,Sara Perry
D0312,Ann Brown
D0313,David Marshall
D0314,Shirley Dawson
D0315,Susan Hernandez
D0316,Gina Edwards
D0317,Laura Howell
D0318,Scott Beltran
D0319,William Campbell
D0320,Ethan Brock
D0321,Nicholas Gomez
D0322,Richard Buchanan
D0323,David Gonzalez
D0324,Kristin Schmitt
D0325,Kelly King
D0326,Jeffery Morgan
D0327,Patricia Fowler
D0328,David Patterson
D0329,Daisy Eaton
D0330,Benjamin Bryant
D0331,Cynthia Velazquez
D0332,William Brock
D0333,Douglas Lambert
D0334,Alex Mcknight
D0335,Gregory Fox
D0336,Carrie Navarro
D0337,Laura Murillo
D0338,Alyssa Walsh
D0339,Jeff Barton
D0340,Ricky Anderson
D0341,John Hurst
D0342,Cristina Wyatt
D0343,Christina Fowler
D0344,Gary Barr
D0345,Frederick Whitney
D0346,Mary Miller
D0347,Evan Lewis
D0348,Adrienne Howard
D0349,Daniel Jones
D0350,Craig Wolfe
D0351,Tina Griffin
D0352,Trevor Evans
D0353,Mark Johnson
D0354,James Hays
D0355,Nicholas Ferguson
D0356,Mr. Jeffrey Powell
D0357,Timothy Carter
D0358,Jennifer Gonzales
D0359,Leonard Chen
D0360,Margaret Ramos
D0361,Joy Davis
D0362,Mary Mckee
D0363,John Evans
D0364,Benjamin Payne
D0365,Jeanne Allen
D0366,Kelly Jackson
D0367,Michael Barber
D0368,Steven Clark
D0369,Amy Bailey
D0370,Cody Houston
D0371,Gregory Nichols
D0372,Christopher Odom
D0373,Raymond Bell
D0374,Autumn Fitzgerald
D0375,James Armstrong
D0376,Darius Schaefer
D0377,Katherine Dunn
D0378,Katherine Flynn
D0379,Julian Perkins
D0380,Holly Taylor
D0381,Mark King
D0382,Shelby Johnson
D0383,Angela Logan MD
D0384,Gloria Schultz
D0385,Victor Morales
D0386,Nancy Vaughn
D0387,Christopher Rivera
D0388,Brittany Rocha
D0389,Patricia Hall
D0390,Christopher Hudson
D0391,Walter Perez
D0392,Jonathan Chang
D0393,Maria Ritter
D0394,Elizabeth Snyder
D0395,Dennis Harris
D0396,Caroline Fields
D0397,Joseph Rivera
D0398,Charles Reynolds
D0399,Patricia Valentine
D0400,Angela Reed
D0401,Doris Johnson
D0402,Devin Pratt
D0403,Angela Allison
D0404,Phyllis Nguyen
D0405,Melissa Mendoza
D0406,Christopher Bates
D0407,April Cummings
D0408,Andrew Hill
D0409,Susan Sampson
D0410,Darren Becker
D0411,Lee Santiago
D0412,Holly Walton
D0413,Craig Howard
D0414,Diane Riley
D0415,John Schroeder
D0416,Mark Watson
D0417,Diane Griffin
D0418,Kenneth Mcintosh
D0419,Victoria Hernandez
D0420,David Zavala
D0421,Frederick Fields
D0422,Michael Nguyen
D0423,Casey Fowler
D0424,Michael Miller
D0425,Kaylee Hampton
D0426,Amber Gordon
D0427,Colleen Meyers
D0428,Eileen Hernandez
D0429,Carrie Wright
D0430,Jeffrey Schmidt
D0431,Jaime Bell
D0432,Brian Cooper
D0433,Anthony Graves
D0434,Traci White MD
D0435,Eric Lutz
D0436,Brenda Hill
D0437,Peter Brown
D0438,Benjamin Banks
D0439,Natalie Perez
D0440,Erica Williams
D0441,Jasmine Webb
D0442,David Cabrera
D0443,Julie Gonzales
D0444,Julia Campbell
D0445,Zachary Robinson
D0446,Christine Smith
D0447,Barbara Burgess
D0448,Malik Goodwin
D0449,Diana Shaw
D0450,Michael Mason
D0451,Alexis Bradford
D0452,Jasmine Parker
D0453,Christina Lopez
D0454,Richard Franco
D0455,Marc Reid
D0456,Ryan Simmons
D0457,Clinton Sanchez
D0458,Cindy Gonzalez
D0459,Christy Ochoa
D0460,Gabriel Livingston
D0461,Mackenzie Phillips
D0462,Gabriel Lane
D0463,Whitney Chavez
D0464,Tara Tucker
D0465,Dustin Alvarez
D0466,Jessica Conway
D0467,Heidi Wood
D0468,David Gordon
D0469,Jonathan Thomas
D0470,Lori Diaz
D0471,Martin Dominguez
D0472,Adam Roberts
D0473,Nancy Beck
D0474,Christy Hughes
D0475,Charles Hernandez
D0476,Hannah Clay
D0477,Steven Dixon
D0478,Monica Thomas
D0479,Alexander Moore
D0480,Curtis Mckinney
D0481,Stephanie Shepard
D0482,Russell Soto
D0483,Charles Cardenas
D0484,Brandon Montoya
D0485,Andrew Bishop
D0486,Daniel Sanders
D0487,Jeremiah Nunez
D0488,Carolyn Peters
D0489,Paul Ruiz
D0490,Robert Palmer
D0491,Lisa Grimes
D0492,Ronald Russell
D0493,Tracey Smith
D0494,Mark Baker
D0495,Austin Perry
D0496,Dr. Mackenzie Bell
D0497,Kimberly Calhoun
D0498,Timothy Aguilar
D0499,Cynthia Stanton MD
D0500,Craig Delgado
D0501,Courtney Parsons
D0502,Sandra Barker
D0503,Michael Hogan
D0504,Toni Perry MD
D0505,William Bailey
D0506,Tiffany Ortega
D0507,Willie Lowery
D0508,Jaime Allen
D0509,Becky Jones
D0510,Tiffany Frank
D0511,Joe Mora
D0512,Teresa Tucker
D0513,Ruben Cross
D0514,Timothy Choi
D0515,Robert Lester
D0516,Sandra Bender
D0517,Martin Smith
D0518,Martha Johnson
D0519,Mercedes Harris
D0520,Gregory Chung
D0521,James Young
D0522,Carla Combs
D0523,Peter Martinez
D0524,Christopher Spears
D0525,Carrie Howell
D0526,Tina Ray
D0527,Debbie Jones
D0528,Anthony Ortiz
D0529,Jason Stewart
D0530,Derek Dorsey
D0531,William Carter
D0532,Angel Jones
D0533,Christopher Fowler
D0534,Stephanie Herrera
D0535,Scott Herring
D0536,Angela Cook
D0537,Michael Davis
D0538,Thomas Hunt
D0539,Dylan Hale
D0540,Bradley Holt
D0541,Sandra Powers
D0542,Evan Campbell
D0543,Sylvia Villarreal
D0544,Matthew Hopkins
D0545,Joseph Miller
D0546,Charles Palmer
D0547,Michael Walters
D0548,Scott Smith
D0549,Nicole Jensen
D0550,Brent Dickerson
D0551,Nicole Young
D0552,Jared Kemp
D0553,Dennis Gilbert
D0554,William Mcguire
D0555,Jesus Wagner
D0556,Jose Cooley
D0557,Andrew Clark
D0558,Evelyn Patterson
D0559,Maria Estes
D0560,Mrs. Linda Miles
D0561,Catherine Wiley
D0562,Olivia Nichols
D0563,Christie Vargas
D0564,Nathaniel Jacobson
D0565,Kayla Clark
D0566,Jessica Jackson
D0567,Lynn Benson
D0568,Michael Dodson MD
D0569,David Nunez
D0570,Lindsay Pierce
D0571,Dr. Jeffrey Barnes Jr.
D0572,Kristie Roberts
D0573,Allison Harper
D0574,Heather Howard
D0575,Vickie King
D0576,Christopher Yoder
D0577,Matthew Nelson
D0578,Martin Lynch
D0579,David Hall
D0580,Benjamin Tyler
D0581,Tyler Adams DDS
D0582,William White
D0583,Amanda Webb
D0584,Travis Holmes
D0585,Amy Small
D0586,Katherine Gutierrez
D0587,Susan Hess
D0588,Kristen Thornton
D0589,Jerry Fisher
D0590,Elizabeth Miller
D0591,Reginald Grimes
D0592,Steven Smith
D0593,Katelyn Davis
D0594,Matthew Jones
D0595,Diana Tran
D0596,Kevin Kelley
D0597,Anthony Green
D0598,Jordan Porter
D0599,James Thompson
D0600,Andrea King
D0601,Lucas Torres
D0602,Sarah Garcia
D0603,Amanda Alvarado
D0604,Samantha Preston
D0605,David Maxwell
D0606,Kevin Butler
D0607,Shannon Sanchez
D0608,Shelly Bright
D0609,Stephanie Wilcox
D0610,Amy Diaz
D0611,Stacey Nguyen
D0612,Peter Wright
D0613,Eric Shaw
D0614,Susan Gaines
D0615,Collin Green
D0616,Richard Harris
D0617,Charles Fernandez
D0618,Kyle Williams MD
D0619,Susan Rios DDS
D0620,Sarah Ibarra
D0621,Jonathan Burns MD
D0622,Jennifer Miller
D0623,Zachary Scott
D0624,Dennis Robbins
D0625,Sean Rodgers
D0626,Nathan Payne
D0627,Kristina Gray
D0628,Regina Bryant
D0629,Karen Donovan
D0630,Amber Lopez
D0631,Vernon Diaz
D0632,Luke Nunez
D0633,Mary Williams
D0634,Gina Richards
D0635,Julie West
D0636,Greg Scott
D0637,Tracy Serrano
D0638,Rhonda Gilbert
D0639,Penny Bryant
D0640,Edward Webster
D0641,Brandon Flores
D0642,Courtney Crane
D0643,Eric Wallace
D0644,Nicole Norton
D0645,Angela Cunningham
D0646,Jessica Morgan
D0647,Shari Foster
D0648,Danielle Collins
D0649,Beth Mckenzie
D0650,Evan Johnson
D0651,Wendy Rivera
D0652,Cindy Maxwell
D0653,Crystal Hays
D0654,Jay Barr
D0655,Lisa Long
D0656,Brianna Kelly
D0657,David Hanson
D0658,David Stevens
D0659,Richard Ayala
D0660,Nathan Adams
D0661,Jennifer Munoz
D0662,Beth Brown
D0663,Karen Jones
D0664,Seth Burnett
D0665,Kevin Johnson
D0666,Julie Garza
D0667,Brian Mack
D0668,Jennifer Johnson
D0669,Joseph Barnes
D0670,Daryl Cross
D0671,Jonathan Edwards
D0672,Adam Hardy
D0673,Robert Ashley
D0674,Mary Vaughn
D0675,Steven Simmons
D0676,Mrs. Jessica Martinez
D0677,Erin Arias
D0678,Daniel Golden
D0679,Anthony Malone
D0680,Charlotte Reyes MD
D0681,Miguel Green
D0682,Frederick White
D0683,Lisa Ruiz
D0684,Cody Rice
D0685,April Foster
D0686,Justin Russell
D0687,Daniel Thomas
D0688,Emily Williamson
D0689,Veronica Christian
D0690,Monica Odonnell
D0691,Cody Berger
D0692,Jeffrey White
D0693,Stacey Burgess
D0694,Ethan Spencer
D0695,Jonathan Baker
D0696,Tonya Burton
D0697,Phillip Campos
D0698,Billy Rodgers
D0699,Sherri Campbell
D0700,Alex Neal
D0701,Mark Martin
D0702,James Smith
D0703,Amber Walker
D0704,Laura Pena
D0705,Tracy Wilson
D0706,Michelle Cox
D0707,Marie Reed
D0708,Philip Vaughn
D0709,Kyle Montes
D0710,Mr. Ronald Hoover
D0711,Daniel Hurley
D0712,Christopher Mills
D0713,Richard Webster
D0714,David Soto
D0715,Michael Paul
D0716,Robert Gregory
D0717,Ashley Lane
D0718,Jennifer Brown
D0719,Kristen Aguirre
D0720,Kathryn Trevino
D0721,Amanda Ramos
D0722,Mr. William Decker
D0723,Michael Grant
D0724,Megan Jones
D0725,Mr. Andrew Hall Jr.
D0726,Joseph Hernandez
D0727,Bryan Brock
D0728,Austin Henderson
D0729,Jessica Bruce MD
D0730,Kenneth Green
D0731,Shelley Garcia
D0732,Justin Douglas
D0733,William Faulkner
D0734,Stephanie Davis
D0735,Ronald Parker
D0736,Kevin Tucker
D0737,Katrina Allen
D0738,Alicia Lopez
D0739,Stephen Lopez
D0740,Alexandra Sims
D0741,Andrea Lee
D0742,Olivia Anderson
D0743,Michelle Barnett
D0744,Johnathan Mcmahon
D0745,Deborah Lawson
D0746,Diana Boyd
D0747,Crystal Ritter
D0748,Carla Mcneil
D0749,Peggy Nunez
D0750,Kenneth White
D0751,Leonard Alvarez
D0752,Henry Rogers
D0753,George Smith
D0754,Anthony Anderson
D0755,Meghan Bailey
D0756,Jason Phillips
D0757,Bailey Ibarra
D0758,Kelsey Simpson
D0759,Sarah Guerra
D0760,Tony Matthews
D0761,Michael Villanueva
D0762,Alan Cain
D0763,Melissa Turner
D0764,Alexander Robles
D0765,Joseph Carr
D0766,David Poole
D0767,Cynthia Thomas
D0768,Rebecca Reed
D0769,Steven Boyle
D0770,Bryan Wu
D0771,James Quinn
D0772,Ryan Rich
D0773,James Robinson
D0774,Edwin Sparks
D0775,Tyler Parsons
D0776,Kirk Rich II
D0777,Andrew Neal
D0778,Susan Silva
D0779,Lynn York
D0780,Ellen Bush
D0781,Anthony Smith
D0782,Mary Schwartz
D0783,Victoria Osborne
D0784,Regina Glass
D0785,Craig Ray
D0786,Carlos Steele
D0787,Michael Pugh
D0788,Mark Mccarthy
D0789,Shane Green
D0790,Hayley Payne
D0791,Christopher Sharp
D0792,Joseph Chandler
D0793,Brandi Elliott
D0794,Brian Fox
D0795,Paul Coleman
D0796,Kelly Thompson
D0797,Corey Perez
D0798,Blake Phillips
D0799,Nicole Phelps
D0800,Lorraine Powers
D0801,Michael Colon
D0802,Taylor Sullivan
D0803,Natalie Howell
D0804,Lonnie Duncan
D0805,Bruce Rivera
D0806,Jordan Shannon
D0807,Cindy Jones
D0808,Reginald Mckinney
D0809,Tiffany Hunt
D0810,Frank Pierce
D0811,Olivia White
D0812,Laura Hill
D0813,Angela Rogers
D0814,Jonathan Jimenez
D0815,Ashley Bishop
D0816,Charles Harris
D0817,Brandon Richardson
D0818,Shane Wong
D0819,Michael Oliver
D0820,John Cooper
D0821,Daniel Freeman
D0822,Adriana Gould
D0823,Amanda Hall
D0824,Michael Mcbride
D0825,Deborah Wise
D0826,Ronald Edwards
D0827,Raymond Bowen
D0828,Jill Bailey
D0829,Jennifer Pope
D0830,Taylor Craig
D0831,Kristy Waters
D0832,Elizabeth Blevins
D0833,Janice Jones
D0834,Joann Anderson
D0835,Christine Mejia
D0836,Pamela Reed
D0837,William Holmes
D0838,Heather Bowman
D0839,Brittany Burns
D0840,Amber Carpenter
D0841,Kimberly Castaneda
D0842,Jessica Vasquez
D0843,Joseph Robinson
D0844,Travis Morales
D0845,Carrie Montes
D0846,Alexander Walters
D0847,Justin Paul
D0848,Curtis Fox
D0849,Theresa Harrison
D0850,Mark Maynard
D0851,Randy Graham
D0852,Michael Jenkins
D0853,Amy Johnson
D0854,Timothy Wagner
D0855,Kara Stevens
D0856,David Keller
D0857,Emily Sanders
D0858,Chris Green
D0859,Kurt Hamilton
D0860,Richard Jones
D0861,Brian Herrera
D0862,Robert Perkins
D0863,Peter Nunez
D0864,Diane Richardson
D0865,Julia Monroe
D0866,Michael Palmer
D0867,Hector King
D0868,Michael Webster
D0869,Christy Maxwell
D0870,Jorge Armstrong
D0871,Alexander Patterson
D0872,Richard Rodgers
D0873,Jasmine King
D0874,Nancy Sutton
D0875,Brittany Anderson
D0876,Heather Long
D0877,Amy Hawkins
D0878,Victor Fowler
D0879,Sharon Hall
D0880,Jeffrey Arellano
D0881,Mary Johnson
D0882,Kimberly Key
D0883,Tara Lopez
D0884,Angela Lara
D0885,Laurie Brewer
D0886,Margaret Hensley DVM
D0887,Adam Bowers
D0888,Renee Odom
D0889,Amanda Morris
D0890,Gregory Oneill
D0891,Erika Smith
D0892,Michelle Harmon
D0893,Shane Russell
D0894,Rhonda Miller
D0895,Aaron Turner
D0896,Angela Anderson
D0897,Caitlin Jackson
D0898,Jeremy Stout
D0899,Michele Warren
D0900,Eric English
D0901,Shirley Armstrong
D0902,Steve Anderson
D0903,Candice Harris
D0904,Rhonda Lucas
D0905,Cody Mcintyre
D0906,Scott Adams DDS
D0907,Jason Dixon
D0908,Larry Williams
D0909,Candice Gray
D0910,Michael Richardson
D0911,Megan Allen
D0912,Jonathan Crawford
D0913,Benjamin Cruz
D0914,Tracy Marks
D0915,Nathan Benjamin
D0916,Sara Cole
D0917,Sara Warner
D0918,Stanley Moreno
D0919,Nina Smith
D0920,Justin Nguyen
D0921,Michele Ramos
D0922,James Harris
D0923,Carla Burgess
D0924,Luke York
D0925,Whitney Phillips
D0926,Daniel Johnson
D0927,Audrey Lewis
D0928,Donald Wagner
D0929,Lisa Fisher
D0930,Amber Williams
D0931,Patrick Medina
D0932,Sheri Castro
D0933,Crystal Thornton
D0934,Kimberly Carter
D0935,Frederick Arnold
D0936,Anna Atkinson
D0937,Mary Coleman
D0938,Jeremy Parker
D0939,Dorothy Garcia
D0940,John Sanders
D0941,Ashlee Cooper
D0942,Nicole Vance
D0943,Karen Lynn
D0944,Rachel Lopez
D0945,Samuel Williams
D0946,Steven Rogers
D0947,Melanie Lloyd
D0948,Bobby Mayo
D0949,Fernando Hodge
D0950,Valerie Simmons
D0951,Cheryl Herrera
D0952,John Rodriguez MD
D0953,Ashley Jackson
D0954,Samuel Hebert
D0955,Ryan Garcia
D0956,Kelli Gutierrez
D0957,Kenneth Watson
D0958,Jo Donaldson
D0959,Ronald Patrick
D0960,Lonnie Patton
D0961,Gabrielle Hendrix
D0962,Brandy Parsons
D0963,Anthony Norris
D0964,Kristina Mendez MD
D0965,Justin Clark
D0966,Charles Schmidt
D0967,Johnny Alvarado
D0968,Patricia Kidd
D0969,Christopher Fleming
D0970,Robert Higgins
D0971,Adrian Powell
D0972,Alexander Rivera
D0973,Pam Johnson
D0974,Tracy Howard
D0975,Matthew Taylor
D0976,Sharon Harding
D0977,Kristine Browning
D0978,Timothy Kim
D0979,Joshua Ross
D0980,Linda Adams
D0981,Richard Andrews
D0982,Julie Warren
D0983,Angela Mathis
D0984,Beth Williams
D0985,Alejandra Williams
D0986,Jennifer Mitchell
D0987,Bradley Hunter
D0988,Todd Houston
D0989,Debra Carpenter
D0990,Amanda Johnson
D0991,Joseph Flores
D0992,Kyle Gray
D0993,Sarah Jackson
D0994,Alyssa Cox
D0995,Angela Johnson
D0996,Debbie Browning
D0997,Brandy Nichols
D0998,Jennifer Roach
D0999,Kenneth Beltran
D1000,Elizabeth Freeman
D10000,Taylor Wilson
D10001,Zachary Collins
D10002,Stacy Newton
D10003,Jacqueline Bennett
D10004,Tiffany Humphrey
D10005,Connor Stevenson
D10006,Melissa Pope
D10007,Christy Taylor
D10008,Jeffrey Dickerson
D10009,Melissa Johnson
D1001,Elizabeth Campbell
D10010,Brian Kelley
D10011,Brooke Nelson
D10012,Kathleen Brown
D10013,David English
D10014,Dawn Austin
D10015,Alec Flores
D10016,Kevin Smith
D10017,Jessica Weber
D10018,Amanda Morgan
D10019,William Griffin
D1002,Larry Collier
D10020,Stephen Burton
D10021,Nathan Rivera
D10022,Kim Hendricks
D10023,Stephanie Cruz
D10024,Elizabeth Gordon
D10025,Renee James
D10026,Kenneth Ortiz
D10027,Douglas Hughes
D10028,Evelyn Cook
D10029,Derek Burns
D1003,Lisa Howell
D10030,William Morales
D10031,Cynthia Brown
D10032,Wayne Matthews
D10033,Ronald Durham
D10034,Chad Jenkins
D10035,Chelsea Johnston
D10036,Jacqueline Sparks
D10037,Katherine Tyler MD
D10038,Amanda Cole
D10039,Gregory Lowery
D1004,Ellen Bailey
D10040,Eric Dennis
D10041,Mrs. Tammy Bell
D10042,Erin Williams
D10043,Jared Nelson
D10044,Katherine Cox
D10045,Heather Jones
D10046,Savannah Vega
D10047,Karen Hernandez
D10048,Charles Coleman
D10049,Donald Watson MD
D1005,Kimberly Gregory
D10050,Lynn Morgan
D10051,Thomas Smith
D10052,Carol Bradshaw
D10053,Molly Kaufman
D10054,Kimberly Mcclure
D10055,Samuel Collins
D10056,Sierra Pugh
D10057,Lisa Dodson
D10058,Jennifer Underwood
D10059,Cristian Cruz
D1006,Timothy Williams
D10060,Kyle White
D10061,Stacey Lamb
D10062,Melissa Spears
D10063,Melissa Zhang
D10064,Aaron Garcia
D10065,Cheryl Ramsey
D10066,Jennifer Anderson MD
D10067,Heather Ho
D10068,William Hopkins
D10069,Danielle Lewis
D1007,Crystal Thompson
D10070,Michael Robbins
D10071,Eric Scott DVM
D10072,Emily Owens
D10073,Margaret Henderson
D10074,Maria Morgan
D10075,Nathaniel Aguirre
D10076,Amanda Mendoza
D10077,Tracy Turner
D10078,Mary Kidd
D10079,Shannon Wallace
D1008,John Bryant
D10080,Angie Smith
D10081,Michelle Franco
D10082,Taylor Estrada
D10083,Ashley Taylor
D10084,Jon Brown
D10085,Angela Quinn
D10086,Kyle Campbell
D10087,Justin Smith Jr.
D10088,Scott Sims
D10089,Michael Vargas
D1009,Robert Brewer
D10090,Rebecca Sanchez
D10091,Dr. Barbara Schultz MD
D10092,Jeffrey Smith
D10093,Judy Massey
D10094,Michael Carpenter
D10095,Kathryn Wallace
D10096,Charles Beard
D10097,Jessica Munoz
D10098,Patrick Parker
D10099,Jason Blair
D1010,Andrea Bentley
D10100,Lisa Pacheco
D10101,Mrs. Sarah Ford
D10102,Juan Rocha
D10103,Kelly Hines
D10104,Dr. Jessica Garcia
D10105,Andrew Nguyen
D10106,Veronica Rosario
D10107,Miss Jessica Hall
D10108,Dr. Walter Obrien
D10109,Mary Blankenship
D1011,Craig Allen
D10110,Claudia Fuentes
D10111,Alexander Duke
